id,gap_size,gap_proprotion,e_ndvi,e_elev,e_prec,e_area,e_edge,e_earatio,d_ndvi,d_elev,d_prec,d_area,d_edge,d_earatio,gap_size_km,e_ndvi_r,e_elev_km,e_prec_m,e_area_km,e_edge_km,e_earatio_km,d_ndvi_r,d_elev_km,d_prec_m,d_area_km,d_edge_km,d_earatio_km,g_edge,g_edge_km,long,lat
2366,150.922,0.023990351,341.728,2306.571,1298.506,6290.946,340.837,0.054178974,344.629,2306.571,1298.506,6140.024,385.334,0.062757735,0.000150922,0.341728,2.306571,1.298506,0.006290946,0.340837,54.17897404,0.344629,2.306571,1.298506,0.006140024,0.385334,62.75773515,44.51,0.04451,405857.787,1191639.253
1707,114.001,0.007238326,215.355,1857,1341.312,15749.637,515.592,0.032736755,216.453,1857,1341.312,15635.636,560.355,0.035838325,0.000114001,0.215355,1.857,1.341312,0.015749637,0.515592,32.7367545,0.216453,1.857,1.341312,0.015635636,0.560355,35.83832471,44.774,0.044774,387594.1922,1116362.664
945,157.353,0.02475512,155.375,1774.8,1168.77,6356.382,601.39,0.094611998,155.889,1774.8,1168.77,6199.029,646.453,0.104282945,0.000157353,0.155375,1.7748,1.16877,0.006356382,0.60139,94.61199783,0.155889,1.7748,1.16877,0.006199029,0.646453,104.282945,45.075,0.045075,399718.5706,1229689.928
1615,134.552,0.010948044,377.61,2303.538,1226.571,12290.049,536.107,0.043621226,379.521,2303.538,1226.571,12155.497,581.484,0.047837123,0.000134552,0.37761,2.303538,1.226571,0.012290049,0.536107,43.62122559,0.379521,2.303538,1.226571,0.012155497,0.581484,47.83712258,45.392,0.045392,428779.0078,1208749.162
1522,147.901,0.046390912,203.164,1773,1144.684,3188.146,341.994,0.107270495,204.168,1773,1144.684,3040.245,387.399,0.127423612,0.000147901,0.203164,1.773,1.144684,0.003188146,0.341994,107.2704951,0.204168,1.773,1.144684,0.003040245,0.387399,127.4236122,45.418,0.045418,399431.7949,1235609.623
1617,162.188,0.016629248,335.713,2453,1209.429,9753.177,416.074,0.042660356,337.881,2453,1209.429,9590.989,461.75,0.048144149,0.000162188,0.335713,2.453,1.209429,0.009753177,0.416074,42.6603557,0.337881,2.453,1.209429,0.009590989,0.46175,48.14414864,45.691,0.045691,431990.739,1212717.237
1320,157.063,0.027539278,215.603,1947.667,1134.554,5703.236,371.386,0.06511847,218.052,1947.667,1134.554,5546.173,417.072,0.075199962,0.000157063,0.215603,1.947667,1.134554,0.005703236,0.371386,65.11846958,0.218052,1.947667,1.134554,0.005546173,0.417072,75.19996221,45.698,0.045698,395646.9583,1116897.166
184,161.101,0.024221537,184.882,1825,1198.066,6651.147,332.717,0.050024003,185.958,1825,1198.066,6490.046,378.562,0.058329633,0.000161101,0.184882,1.825,1.198066,0.006651147,0.332717,50.02400338,0.185958,1.825,1.198066,0.006490046,0.378562,58.32963279,45.855,0.045855,383362.2943,1232423.709
918,148.464,0.048139063,333.363,2176,1637.161,3084.065,207.581,0.067307596,335.143,2176,1637.161,2935.601,253.481,0.086347225,0.000148464,0.333363,2.176,1.637161,0.003084065,0.207581,67.30759566,0.335143,2.176,1.637161,0.002935601,0.253481,86.34722498,45.901,0.045901,323250.466,1255127.163
6,154.46,0.011593039,330.265,2039.929,1460.213,13323.512,570.97,0.042854316,331.269,2039.929,1460.213,13169.052,616.938,0.046847564,0.00015446,0.330265,2.039929,1.460213,0.013323512,0.57097,42.85431649,0.331269,2.039929,1.460213,0.013169052,0.616938,46.84756351,45.959,0.045959,280322.1463,1158327.901
