id,elev
1,1226
10,2276
100,2736
1000,2197
1001,2299
1002,1949
1003,2845
1004,2588
1005,2668
1006,2782
1007,2158
1008,2631
1009,2560
101,3003
1010,2063
1011,2268
1012,2957
1013,2831
1014,2120
1015,2178
1016,2321
1017,2506
1018,1999
1019,2693
102,2784
1020,1961
1021,1956
1022,2691
1023,2614
1024,1906
1025,2110
1026,2043
1027,2660
1028,2158
1029,2493
103,1640
1030,2322
1031,2320
1032,2151
1033,2359
1034,2141
1035,2570
1036,2639
1037,2218
1038,2945
1039,2052
104,2561
1040,2560
1041,2632
1042,1996
1043,2230
1044,1957
1045,2208
1046,2187
1047,1897
1048,2177
1049,2581
105,2562
1050,1918
1051,2114
1052,2352
1053,2650
1054,2137
1055,2082
1056,2047
1057,2158
1058,2045
1059,2984
106,1876
1060,2474
1061,2137
1062,2136
1063,2469
1064,2622
1065,2535
1066,2235
1067,2462
1068,2005
1069,2947
107,2646
1070,2342
1071,2377
1072,2179
1073,2242
1074,2655
1075,2308
1076,2756
1077,1918
1078,2815
1079,1926
108,1904
1080,2419
1081,2288
1082,2701
1083,2655
1084,1941
1085,2996
1086,1971
1087,2449
1088,1989
1089,2014
109,2513
1090,1932
1091,2154
1092,2080
1093,2220
1094,1864
1095,1818
1096,1884
1097,1833
1098,2067
1099,1937
11,1733
110,2668
1100,1995
1101,2185
1102,2016
1103,1976
1104,2639
1105,2052
1106,2414
1107,2109
1108,2867
1109,2160
111,2653
1110,2288
1111,2772
1112,2135
1113,3048
1114,2770
1115,2588
1116,2248
1117,2437
1118,2848
1119,2411
112,2488
1120,2237
1121,2111
1122,1932
1123,1788
1124,1822
1125,1915
1126,1840
1127,1958
1128,2379
1129,2434
113,2442
1130,1942
1131,2090
1132,2227
1133,1940
1134,2034
1135,1830
1136,2182
1137,2077
1138,2318
1139,2055
114,2543
1140,2104
1141,2054
1142,1904
1143,2004
1144,2253
1145,2229
1146,2281
1147,2383
1148,2018
1149,2612
115,2163
1150,2073
1151,2590
1152,2463
1153,1928
1154,1895
1155,1840
1156,1826
1157,1762
1158,1915
1159,1517
116,2488
1160,1684
1161,1125
1162,1959
1163,1639
1164,1290
1165,1884
1166,2122
1167,1245
1168,1249
1169,1875
117,2545
1170,1282
1171,1613
1172,1833
1173,1921
1174,2109
1175,2112
1176,2053
1177,1814
1178,1733
1179,1930
118,2431
1180,1686
1181,2137
1182,2163
1183,1885
1184,2139
1185,1535
1186,2049
1187,1558
1188,1650
1189,1979
119,2521
1190,2011
1191,1967
1192,1908
1193,1798
1194,1953
1195,1999
1196,1954
1197,1938
1198,1622
1199,1918
12,2037
120,2047
1200,2024
1201,1899
1202,1852
1203,2609
1204,2003
1205,1893
1206,1818
1207,1913
1208,1795
1209,1833
121,2122
1210,2003
1211,1963
1212,2052
1213,1958
1214,1972
1215,2023
1216,2625
1217,1901
1218,2157
1219,2363
122,2455
1220,2057
1221,2130
1222,2090
1223,3007
1224,2972
1225,3508
1226,3095
1227,3144
1228,3507
1229,3442
123,2496
1230,2359
1231,3455
1232,3192
1233,3394
1234,1803
1235,3050
1236,3051
1237,3375
1238,2605
1239,2554
124,2244
1240,2686
1241,2492
1242,2387
1243,2048
1244,2525
1245,1804
1246,2633
1247,2774
1248,2667
1249,2453
125,2244
1250,1846
1251,2498
1252,2238
1253,2338
1254,2508
1255,2293
1256,1599
1257,2448
1258,2301
1259,2501
126,2027
1260,1991
1261,2171
1262,2275
1263,2460
1264,2290
1265,2059
1266,2433
1267,2403
1268,2423
1269,2054
127,2415
1270,2460
1271,1740
1272,2415
1273,2024
1274,1808
1275,2513
1276,1936
1277,2590
1278,1867
1279,2506
128,1886
1280,2516
1281,2726
1282,2774
1283,1884
1284,2534
1285,2428
1286,2420
1287,2539
1288,2140
1289,2492
129,2386
1290,2435
1291,2447
1292,2418
1293,2453
1294,1901
1295,2084
1296,1858
1297,1937
1298,1941
1299,2367
13,1687
130,1946
1300,1774
1301,1811
1302,1824
1303,1831
1304,1824
1305,2047
1306,1813
1307,1981
1308,2194
1309,1782
131,2389
1310,1688
1311,1799
1312,1736
1313,1794
1314,1953
1315,2041
1316,1512
1317,2003
1318,1848
1319,1949
132,2376
1320,1949
1321,2431
1322,2559
1323,1992
1324,2048
1325,2136
1326,1853
1327,1954
1328,1841
1329,2030
133,1947
1330,2020
1331,2046
1332,1792
1333,1830
1334,1859
1335,2863
1336,2544
1337,2826
1338,2392
1339,2161
134,2442
1340,2208
1341,2662
1342,2029
1343,2806
1344,2813
1345,2876
1346,2812
1347,2584
1348,2445
1349,1962
135,2559
1350,1904
1351,2106
1352,1907
1353,1789
1354,1801
1355,1814
1356,1932
1357,1911
1358,1835
1359,1599
136,2553
1360,1591
1361,1832
1362,1538
1363,1599
1364,2264
1365,1729
1366,2036
1367,1828
1368,1877
1369,2108
137,2535
1370,3018
1371,1842
1372,1946
1373,2059
1374,2091
1375,2248
1376,3033
1377,1928
1378,2954
1379,1703
138,2670
1380,1651
1381,1995
1382,2102
1383,3207
1384,2272
1385,2030
1386,1976
1387,1830
1388,2007
1389,1727
139,2778
1390,2653
1391,2353
1392,2093
1393,2307
1394,2238
1395,2097
1396,2803
1397,2675
1398,2208
1399,1702
14,1886
140,2618
1400,2057
1401,1804
1402,1846
1403,2327
1404,2072
1405,2381
1406,1817
1407,1757
