,lat_dd_mod,household_id2,dist_market,lon_dd_mod,tsfirewood,hh_education,car_num,car,bicycle_num,bicycle,motorcycle_num,motorcycle,kerosene_num,kerosene,electric_num,electric,mobile_num,mobile,tv_num,tv,iddir,total_cons_ann,ess_id
42,10.56353338,3.0708E+16,1,37.48977956,20,13,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,16801.59961,33
43,10.56353338,3.0708E+16,1,37.48977956,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5264.399902,33
44,10.56353338,3.0708E+16,1,37.48977956,0,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10848,33
45,10.56353338,3.0708E+16,1,37.48977956,0,9,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,68182.67188,33
46,10.56353338,3.0708E+16,1,37.48977956,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,34641,33
47,10.56353338,3.0708E+16,2,37.48977956,0,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,36221.14063,33
48,10.56353338,3.0708E+16,1,37.48977956,0,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3148.657715,33
49,10.56353338,3.0708E+16,4,37.48977956,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,8043,33
50,10.56353338,3.0708E+16,1,37.48977956,60,6,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,31783.81641,33
51,10.56353338,3.0708E+16,1,37.48977956,20,13,0,0,0,0,0,0,2,1,0,0,4,1,1,1,1,97727.99219,33
52,10.56353338,3.0708E+16,1,37.48977956,0,6,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,10212,33
53,10.57737596,3.07101E+16,14,37.04496751,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,20319.28516,5
54,10.57737596,3.07101E+16,14,37.04496751,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,15078.69141,5
55,10.57737596,3.07101E+16,14,37.04496751,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16752.57813,5
56,10.57737596,3.07101E+16,15,37.04496751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3918,5
57,10.57737596,3.07101E+16,15,37.04496751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6434,5
58,10.57737596,3.07101E+16,14,37.04496751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13636.11914,5
59,10.57737596,3.07101E+16,14,37.04496751,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,31937.29883,5
60,10.57737596,3.07101E+16,14,37.04496751,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,28899.23828,5
61,10.57737596,3.07101E+16,16,37.04496751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17472,5
